Subject,Start Date,Start Time,End Time,Description,Location
Vector Calculus-LECT,04/22/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/29/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,05/06/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-EXAM,05/12/2022,6:30 pm,9:30 pm,Exam,CLSSRM 116
Vector Calculus-DISC,01/18/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,01/25/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,02/01/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,02/08/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,02/15/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,02/22/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,03/01/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,03/08/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,03/15/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,03/22/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,03/29/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,04/05/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
Vector Calculus-DISC,04/12/2022,1:30 pm,3:20 pm,"CRN: 16416 Course #: MATH-023-32D Units: 0 Instructor: West, Scott",GLCR 125
