Subject,Start Date,Start Time,End Time,Description,Location
Intro to Programming-LECT,02/02/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,02/09/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,02/16/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,02/23/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,03/02/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,03/09/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,03/16/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,03/23/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,03/30/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,04/06/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,04/13/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,04/20/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,04/27/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-LECT,05/04/2022,12:00 pm,1:15 pm,"CRN: 15593 Course #: CSE-022-01 Units: 4 Instructor: Kyrilov, Angelo",CLSSRM 120
Intro to Programming-EXAM,05/13/2022,8:00 am,11:00 am,Exam,CLSSRM 120
Intro to Programming-LAB,01/20/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,01/27/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
Intro to Programming-LAB,02/03/2022,7:30 am,10:20 am,"CRN: 15594 Course #: CSE-022-02L Units: 0 Instructor: Hoskeri, Rahul Sidramappa",SCIENG 100
